Date,Govornorate,Community,Month,Year,Sex,Child,Type of Incident,Weapon,Fatal
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Female,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Female,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Rubber bullet (all types),No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Rubber bullet (all types),No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Rubber bullet (all types),No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Female,No,Demonstration (GMR),Shrapnel,No
30/03/18,Deir Al-Balah (Middle Area),Deir al Balah,March,2018,Male,No,Demonstration (GMR),Shrapnel,No
30/03/18,Rafah,Rafah,March,2018,Female,Yes,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Female,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Female,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Female,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Rubber bullet (all types),No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Rubber bullet (all types),No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Rubber bullet (all types),No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Rubber bullet (all types),No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Shrapnel,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Shrapnel,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Shrapnel,No
30/03/18,Rafah,Rafah,March,2018,Male,Yes,Demonstration (GMR),Shrapnel,No
30/03/18,Rafah,Rafah,March,2018,Female,No,Demonstration (GMR),Shrapnel,No
30/03/18,Rafah,Rafah,March,2018,Male,No,Demonstration (GMR),Shrapnel,No
30/03/18,Gaza,Gaza,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Gaza,Gaza,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Gaza,Gaza,March,2018,Male,Yes,Demonstration (GMR),Others,No
30/03/18,Gaza,Gaza,March,2018,Male,Yes,Demonstration (GMR),Others,No
